"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 03 12:34:13 IST 2022","Thu Nov 03 12:34:32 IST 2022","18970","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""holding hands""",""
"failed","Thu Nov 03 12:46:26 IST 2022","Thu Nov 03 12:46:26 IST 2022","548","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""big empty space""",""
"passed","Thu Nov 03 12:32:33 IST 2022","Thu Nov 03 12:32:54 IST 2022","21182","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""golden hour""",""
"failed","Thu Nov 03 12:26:02 IST 2022","Thu Nov 03 12:26:03 IST 2022","932","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""bussiness""",""
"failed","Thu Nov 03 12:33:15 IST 2022","Thu Nov 03 12:33:16 IST 2022","616","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""goosebumps""",""
"passed","Thu Nov 03 12:55:54 IST 2022","Thu Nov 03 12:56:14 IST 2022","20454","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""spinning""",""
"failed","Thu Nov 03 12:47:36 IST 2022","Thu Nov 03 12:47:57 IST 2022","21256","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""black children""",""
"passed","Thu Nov 03 12:24:37 IST 2022","Thu Nov 03 12:24:57 IST 2022","19580","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""bird eye""",""
"failed","Thu Nov 03 12:46:38 IST 2022","Thu Nov 03 12:46:59 IST 2022","21189","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""black""",""
"failed","Thu Nov 03 12:32:14 IST 2022","Thu Nov 03 12:32:33 IST 2022","18699","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""gender fluid""",""
"failed","Thu Nov 03 12:53:55 IST 2022","Thu Nov 03 12:54:15 IST 2022","20241","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""park""",""
"failed","Thu Nov 03 12:50:43 IST 2022","Thu Nov 03 12:50:43 IST 2022","515","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""fool around  slang""",""
"passed","Thu Nov 03 12:50:47 IST 2022","Thu Nov 03 12:51:07 IST 2022","20394","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""golden hour""",""
"failed","Thu Nov 03 12:51:08 IST 2022","Thu Nov 03 12:51:09 IST 2022","679","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""google""",""
"passed","Thu Nov 03 12:57:33 IST 2022","Thu Nov 03 12:57:45 IST 2022","12212","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""wind blowing""",""
"failed","Thu Nov 03 12:51:31 IST 2022","Thu Nov 03 12:51:40 IST 2022","8046","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""having fun""",""
"passed","Thu Nov 03 12:52:20 IST 2022","Thu Nov 03 12:52:34 IST 2022","13327","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""liquid flowing""",""
"failed","Thu Nov 03 12:24:07 IST 2022","Thu Nov 03 12:24:16 IST 2022","9512","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""big empty space""",""
"failed","Thu Nov 03 12:51:07 IST 2022","Thu Nov 03 12:51:08 IST 2022","512","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""goofing around  - slang""",""
"passed","Thu Nov 03 12:41:34 IST 2022","Thu Nov 03 12:41:55 IST 2022","21071","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""sun flare""",""
"failed","Thu Nov 03 12:56:54 IST 2022","Thu Nov 03 12:56:57 IST 2022","3154","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""techno""",""
"passed","Thu Nov 03 12:26:26 IST 2022","Thu Nov 03 12:26:30 IST 2022","4619","Footage | Search term | AI | Vespa semantical tests","vespa | Footage | Search term","","","","Verify search term = ""challenge""",""
"failed","Thu Nov 03 12:56:14 IST 2022","Thu Nov 03 12:56:23 IST 2022","8663","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""street style""",""
"passed","Thu Nov 03 12:48:31 IST 2022","Thu Nov 03 12:48:41 IST 2022","10384","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""climate change""",""
"failed","Thu Nov 03 12:56:50 IST 2022","Thu Nov 03 12:56:53 IST 2022","2048","Footage | Search term | AI | Vespa semantical tests","azure | Footage | Search term","","","","Verify search term = ""sustainability""",""
